id,Time(millis),Temp1,Temp2,HIndex
0,NaN,21.94,24.0,23.55
1,NaN,21.94,24.0,23.55
2,NaN,21.94,24.0,23.55
3,NaN,21.94,24.0,23.55
4,273.0,22.83,24.0,23.55
5,273.0,22.83,24.0,23.55
6,273.0,22.83,24.0,23.55
7,273.0,22.83,24.0,23.55
8,275.0,22.83,24.0,23.55
9,275.0,22.83,24.0,23.55
10,275.0,22.83,24.0,23.55
11,275.0,22.83,24.0,23.55
12,276.0,22.83,24.0,23.55
13,276.0,22.83,24.0,23.55
14,276.0,22.83,24.0,23.55
15,276.0,22.83,24.0,23.55
16,300.0,22.83,24.0,23.55
17,300.0,22.83,24.0,23.55
18,300.0,22.83,24.0,23.55
19,300.0,22.83,24.0,23.55
20,323.0,22.83,24.0,23.55
21,323.0,22.83,24.0,23.55
22,323.0,22.83,24.0,23.55
23,323.0,22.83,24.0,23.55
24,348.0,22.93,24.0,23.55
25,348.0,22.93,24.0,23.55
26,348.0,22.93,24.0,23.55
27,348.0,22.93,24.0,23.55
28,371.0,22.83,24.0,23.55
29,371.0,22.83,24.0,23.55
30,371.0,22.83,24.0,23.55
31,371.0,22.83,24.0,23.55
32,395.0,22.83,24.0,23.55
33,395.0,22.83,24.0,23.55
34,395.0,22.83,24.0,23.55
35,395.0,22.83,24.0,23.55
36,419.0,22.83,24.0,23.55
37,419.0,22.83,24.0,23.55
38,419.0,22.83,24.0,23.55
39,419.0,22.83,24.0,23.55
40,443.0,22.83,24.0,23.55
41,443.0,22.83,24.0,23.55
42,443.0,22.83,24.0,23.55
43,443.0,22.83,24.0,23.55
44,466.0,22.83,24.0,23.55
45,466.0,22.83,24.0,23.55
46,466.0,22.83,24.0,23.55
47,466.0,22.83,24.0,23.55
48,491.0,22.83,24.0,23.55
49,491.0,22.83,24.0,23.55
50,491.0,22.83,24.0,23.55
51,491.0,22.83,24.0,23.55
52,515.0,22.83,24.0,23.55
53,515.0,22.83,24.0,23.55
54,515.0,22.83,24.0,23.55
55,515.0,22.83,24.0,23.55
56,539.0,22.83,24.0,23.55
57,539.0,22.83,24.0,23.55
58,539.0,22.83,24.0,23.55
59,539.0,22.83,24.0,23.55
60,563.0,22.83,24.0,23.55
61,563.0,22.83,24.0,23.55
62,563.0,22.83,24.0,23.55
63,563.0,22.83,24.0,23.55
64,586.0,22.83,24.0,23.55
65,586.0,22.83,24.0,23.55
66,586.0,22.83,24.0,23.55
67,586.0,22.83,24.0,23.55
68,611.0,22.83,24.0,23.55
69,611.0,22.83,24.0,23.55
70,611.0,22.83,24.0,23.55
71,611.0,22.83,24.0,23.55
72,634.0,22.83,24.0,23.55
73,634.0,22.83,24.0,23.55
74,634.0,22.83,24.0,23.55
75,634.0,22.83,24.0,23.55
76,658.0,22.83,24.0,23.55
77,658.0,22.83,24.0,23.55
78,658.0,22.83,24.0,23.55
79,658.0,22.83,24.0,23.55
80,683.0,22.83,24.0,23.55
81,683.0,22.83,24.0,23.55
82,683.0,22.83,24.0,23.55
83,683.0,22.83,24.0,23.55
84,706.0,22.83,24.0,23.55
85,706.0,22.83,24.0,23.55
86,706.0,22.83,24.0,23.55
87,706.0,22.83,24.0,23.55
88,730.0,22.83,24.0,23.55
89,730.0,22.83,24.0,23.55
90,730.0,22.83,24.0,23.55
91,730.0,22.83,24.0,23.55
92,754.0,22.83,24.0,23.55
93,754.0,22.83,24.0,23.55
94,754.0,22.83,24.0,23.55
95,754.0,22.83,24.0,23.55
96,778.0,22.83,24.0,23.55
97,778.0,22.83,24.0,23.55
98,778.0,22.83,24.0,23.55
99,778.0,22.83,24.0,23.55
100,801.0,22.83,24.0,23.55
101,801.0,22.83,24.0,23.55
102,801.0,22.83,24.0,23.55
103,801.0,22.83,24.0,23.55
104,826.0,22.83,24.0,23.55
105,826.0,22.83,24.0,23.55
106,826.0,22.83,24.0,23.55
107,826.0,22.83,24.0,23.55
108,849.0,22.83,24.0,23.55
109,849.0,22.83,24.0,23.55
110,849.0,22.83,24.0,23.55
111,849.0,22.83,24.0,23.55
112,874.0,22.83,24.0,23.55
113,874.0,22.83,24.0,23.55
114,874.0,22.83,24.0,23.55
115,874.0,22.83,24.0,23.55
116,898.0,22.83,24.0,23.55
117,898.0,22.83,24.0,23.55
118,898.0,22.83,24.0,23.55
119,898.0,22.83,24.0,23.55
120,921.0,22.83,24.0,23.55
121,921.0,22.83,24.0,23.55
122,921.0,22.83,24.0,23.55
123,921.0,22.83,24.0,23.55
124,946.0,22.83,24.0,23.55
125,946.0,22.83,24.0,23.55
126,946.0,22.83,24.0,23.55
127,946.0,22.83,24.0,23.55
128,969.0,22.93,24.0,23.55
129,969.0,22.93,24.0,23.55
130,969.0,22.93,24.0,23.55
131,969.0,22.93,24.0,23.55
132,993.0,22.83,24.0,23.55
133,993.0,22.83,24.0,23.55
134,993.0,22.83,24.0,23.55
135,993.0,22.83,24.0,23.55
136,1017.0,22.83,24.0,23.55
137,1017.0,22.83,24.0,23.55
138,1017.0,22.83,24.0,23.55
139,1017.0,22.83,24.0,23.55
140,1042.0,22.83,24.0,23.55
141,1042.0,22.83,24.0,23.55
142,1042.0,22.83,24.0,23.55
143,1042.0,22.83,24.0,23.55
144,1067.0,22.83,24.0,23.55
145,1067.0,22.83,24.0,23.55
146,1067.0,22.83,24.0,23.55
147,1067.0,22.83,24.0,23.55
148,1092.0,22.83,24.0,23.55
149,1092.0,22.83,24.0,23.55
150,1092.0,22.83,24.0,23.55
151,1092.0,22.83,24.0,23.55
152,1117.0,22.83,24.0,23.55
153,1117.0,22.83,24.0,23.55
154,1117.0,22.83,24.0,23.55
155,1117.0,22.83,24.0,23.55
156,1142.0,22.83,24.0,23.55
157,1142.0,22.83,24.0,23.55
158,1142.0,22.83,24.0,23.55
159,1142.0,22.83,24.0,23.55
160,1167.0,22.83,24.0,23.55
161,1167.0,22.83,24.0,23.55
162,1167.0,22.83,24.0,23.55
163,1167.0,22.83,24.0,23.55
164,1191.0,22.83,24.0,23.55
165,1191.0,22.83,24.0,23.55
166,1191.0,22.83,24.0,23.55
167,1191.0,22.83,24.0,23.55
168,1217.0,22.83,24.0,23.55
169,1217.0,22.83,24.0,23.55
170,1217.0,22.83,24.0,23.55
171,1217.0,22.83,24.0,23.55
172,1242.0,22.83,24.0,23.55
173,1242.0,22.83,24.0,23.55
174,1242.0,22.83,24.0,23.55
175,1242.0,22.83,24.0,23.55
176,1266.0,22.83,24.0,23.55
177,1266.0,22.83,24.0,23.55
178,1266.0,22.83,24.0,23.55
179,1266.0,22.83,24.0,23.55
180,1292.0,22.83,24.0,23.55
181,1292.0,22.83,24.0,23.55
182,1292.0,22.83,24.0,23.55
183,1292.0,22.83,24.0,23.55
184,1316.0,22.83,24.0,23.55
185,1316.0,22.83,24.0,23.55
186,1316.0,22.83,24.0,23.55
187,1316.0,22.83,24.0,23.55
188,1342.0,22.83,24.0,23.55
189,1342.0,22.83,24.0,23.55
190,1342.0,22.83,24.0,23.55
191,1342.0,22.83,24.0,23.55
192,1367.0,22.83,24.0,23.55
193,1367.0,22.83,24.0,23.55
194,1367.0,22.83,24.0,23.55
195,1367.0,22.83,24.0,23.55
196,1391.0,22.83,24.0,23.55
197,1391.0,22.83,24.0,23.55
198,1391.0,22.83,24.0,23.55
199,1391.0,22.83,24.0,23.55
200,1417.0,22.93,24.0,23.55
201,1417.0,22.93,24.0,23.55
202,1417.0,22.93,24.0,23.55
203,1417.0,22.93,24.0,23.55
204,1441.0,22.83,24.0,23.55
205,1441.0,22.83,24.0,23.55
206,1441.0,22.83,24.0,23.55
207,1441.0,22.83,24.0,23.55
208,1466.0,22.93,24.0,23.55
209,1466.0,22.93,24.0,23.55
210,1466.0,22.93,24.0,23.55
211,1466.0,22.93,24.0,23.55
212,1491.0,22.83,24.0,23.55
213,1491.0,22.83,24.0,23.55
214,1491.0,22.83,24.0,23.55
215,1491.0,22.83,24.0,23.55
216,1516.0,22.93,24.0,23.55
217,1516.0,22.93,24.0,23.55
218,1516.0,22.93,24.0,23.55
219,1516.0,22.93,24.0,23.55
220,1542.0,22.83,24.0,23.55
221,1542.0,22.83,24.0,23.55
222,1542.0,22.83,24.0,23.55
223,1542.0,22.83,24.0,23.55
224,1566.0,22.83,24.0,23.55
225,1566.0,22.83,24.0,23.55
226,1566.0,22.83,24.0,23.55
227,1566.0,22.83,24.0,23.55
228,1591.0,22.83,24.0,23.55
229,1591.0,22.83,24.0,23.55
230,1591.0,22.83,24.0,23.55
231,1591.0,22.83,24.0,23.55
232,1616.0,22.83,24.0,23.55
233,1616.0,22.83,24.0,23.55
234,1616.0,22.83,24.0,23.55
235,1616.0,22.83,24.0,23.55
236,1641.0,22.83,24.0,23.55
237,1641.0,22.83,24.0,23.55
238,1641.0,22.83,24.0,23.55
239,1641.0,22.83,24.0,23.55
240,1666.0,22.83,24.0,23.55
241,1666.0,22.83,24.0,23.55
242,1666.0,22.83,24.0,23.55
243,1666.0,22.83,24.0,23.55
244,1691.0,22.83,24.0,23.55
245,1691.0,22.83,24.0,23.55
246,1691.0,22.83,24.0,23.55
247,1691.0,22.83,24.0,23.55
248,1716.0,22.93,24.0,23.55
249,1716.0,22.93,24.0,23.55
250,1716.0,22.93,24.0,23.55
251,1716.0,22.93,24.0,23.55
252,1741.0,22.83,24.0,23.55
253,1741.0,22.83,24.0,23.55
254,1741.0,22.83,24.0,23.55
255,1741.0,22.83,24.0,23.55
256,1766.0,22.83,24.0,23.55
257,1766.0,22.83,24.0,23.55
258,1766.0,22.83,24.0,23.55
259,1766.0,22.83,24.0,23.55
260,1790.0,22.83,24.0,23.55
261,1790.0,22.83,24.0,23.55
262,1790.0,22.83,24.0,23.55
263,1790.0,22.83,24.0,23.55
264,1816.0,22.73,24.0,23.55
265,1816.0,22.73,24.0,23.55
266,1816.0,22.73,24.0,23.55
267,1816.0,22.73,24.0,23.55
268,1841.0,22.83,24.0,23.55
269,1841.0,22.83,24.0,23.55
270,1841.0,22.83,24.0,23.55
271,1841.0,22.83,24.0,23.55
272,1865.0,22.83,24.0,23.55
273,1865.0,22.83,24.0,23.55
274,1865.0,22.83,24.0,23.55
275,1865.0,22.83,24.0,23.55
276,1891.0,22.83,24.0,23.55
277,1891.0,22.83,24.0,23.55
278,1891.0,22.83,24.0,23.55
279,1891.0,22.83,24.0,23.55
280,1915.0,22.83,24.0,23.55
281,1915.0,22.83,24.0,23.55
282,1915.0,22.83,24.0,23.55
283,1915.0,22.83,24.0,23.55
284,1941.0,22.83,24.0,23.55
